name,year,ohio
Carpenter M. Scott ,1925,
Williams Clifton C. Jr.,1932,
Worden Alfred M.,1932,
Williams Donald E.,1942,
Wilcutt Terrence W.,1949,
Wisoff Peter J. K.,1958,
Wolf David A.,1956,
Whitson Peggy A.,1960,
Williams Jeffrey N.,1958,
Wilson Stephanie D.,1966,
Williams Sunita L.,1965,1
Woodward Neil W. III,1962,
Wilmore Barry E.,1962,
Aunon Serena M.,1976,
Epps Jeanette J.,1970,
Fischer Jack D.,1974,
Hansen Jeremy,1976,
Hopkins Michael S.,1968,
Kanai Norishige,1976,
Lindgren Kjell N.,1973,
Onishi Tayuka,1975,
Rubins Kathleen ,1978,
Saint-Jacques David,1970,
Tingle Scott D.,1965,
Vande Hei Mark T.,1966,
Wiseman Gregory R.,1975,
Yui Kimiya,1970,
Cooper L. Gordon Jr. ,1927,
Glenn John H. Jr. ,1921,1
Grissom Virgil I. ,1926,
Schirra Walter M. Jr. ,1923,
Shepard Alan B. Jr. ,1923,
Slayton Donald K. ,1924,
Armstrong Neil A. ,1930,1
Borman Frank ,1928,
Conrad Charles Jr. ,1930,
Lovell James A. Jr. ,1928,1
McDivitt James A. ,1929,
See Elliot M. Jr. ,1927,
Stafford Thomas P. ,1930,
White Edward H. II ,1930,
Young John W. ,1930,
Aldrin Buzz ,1930,
Anders William A. ,1933,
Bassett Charles A. II ,1931,1
Bean Alan L. ,1932,
Cernan Eugene A. ,1934,
Chaffee Roger B. ,1935,
Collins Michael ,1930,
Cunningham Walter ,1932,
Eisele Donn F. ,1930,1
Freeman Theodore C. ,1930,
Gordon Richard F. Jr. ,1929,
Schweickart Russell L. ,1935,
Scott David R. ,1932,
Garriott Owen K. ,1930,
Gibson Edward G. ,1936,
Graveline Duane E. ,1931,
Kerwin Joseph P. ,1932,
Michel F. Curtis ,1934,
Schmitt Harrison H. ,1935,
Brand Vance D. ,1931,
Bull John S. ,1934,
Carr Gerald P. ,1932,
Duke Charles M. Jr. ,1935,
Engle Joe H. ,1932,
Evans Ronald E. ,1933,
Givens Edward G. Jr. ,1930,
Haise Fred W. Jr. ,1933,
Irwin James B. ,1930,
Lind Don L. ,1930,
Lousma Jack R. ,1936,
Mattingly Thomas K. II ,1936,
McCandless Bruce II ,1937,
Mitchell Edgar D. ,1930,
Pogue William R. ,1930,
Roosa Stuart A. ,1933,
Swigert John L. Jr. ,1931,
Weitz Paul J. ,1932,
Allen Joseph P. ,1937,
Chapman Philip K. ,1935,
England Anthony W. ,1942,
Henize Karl G. ,1926,1
Holmquest Donald L. ,1939,
Lenoir William B. ,1939,
Llewellyn John A. ,1933,
Musgrave Story ,1935,
O'Leary Brian T. ,1940,
Parker Robert A. R. ,1936,
Thornton William E. ,1929,
Bobko Karol J. ,1937,
Crippen Robert L. ,1937,
Fullerton Charles G. ,1936,
Hartsfield Henry W. Jr. ,1933,
Overmyer Robert F. ,1936,1
Peterson Donald H. ,1933,
Truly Richard H. ,1937,
Bluford Guion S. Jr. ,1942,
Brandenstein Daniel C. ,1943,
Buchli James F. ,1945,
Coats Michael L. ,1946,
Covey Richard O. ,1946,
Creighton John O. ,1943,
Fabian John M. ,1939,
Fisher Anna L. ,1949,
Gardner Dale A. ,1948,
Gibson Robert L. ,1946,
Gregory Frederick D. ,1941,
Griggs S. David ,1939,
Hart Terry J. ,1946,
Hauck Frederick H. ,1941,
Hawley Steven A. ,1951,
Hoffman Jeffrey A. ,1944,
Lucid Shannon W. ,1943,
McBride Jon A. ,1943,
McNair Ronald E. ,1950,
Mullane Richard M. ,1945,
Nagel Steven R. ,1946,
Nelson George D. ,1950,
Onizuka Ellison S. ,1946,
Resnik Judith A. ,1949,1
Ride Sally K. ,1951,
Scobee Francis R. ,1939,
Seddon Margaret Rhea ,1947,
Shaw Brewster H. Jr. ,1945,
Shriver Loren J. ,1944,
Stewart Robert L. ,1942,
Sullivan Kathryn D. ,1951,
Thagard Norman E. ,1943,
Van Hoften James D. A. ,1944,
Walker David M. ,1944,
Bagian James P. ,1952,
Blaha John E. ,1942,
Bolden Charles F. Jr. ,1946,
Bridges Roy D. Jr. ,1943,
Chang-Diaz Franklin R. ,1950,
Cleave Mary L. ,1947,
Dunbar Bonnie J. ,1949,
Fisher William F. ,1946,
Gardner Guy S. ,1948,
Grabe Ronald J. ,1945,
Hilmers David C. ,1950,
Leestma David C. ,1949,
Lounge John M. ,1946,
O'Connor Bryan D. ,1946,
Richards Richard N. ,1946,
Ross Jerry L. ,1948,
Smith Michael J. ,1945,
Spring Sherwood C. ,1944,
Springer Robert C. ,1942,1
Adamson James C. ,1946,
Baker Ellen S. ,1953,
Brown Mark N. ,1951,
Cameron Kenneth D. ,1949,1
Carter Manley Lanier Jr. ,1947,
Casper John H. ,1943,
Culbertson Frank L. Jr. ,1949,
Gutierrez Sidney M. ,1951,
Hammond L. Blaine Jr. ,1952,
Ivins Marsha S. ,1951,
Lee Mark C. ,1952,
Low G. David ,1956,1
McCulley Michael J. ,1943,
Shepherd William M. ,1949,
Thornton Kathryn C. ,1952,
Veach Charles Lacy ,1944,
Wetherbee James D. ,1952,
Apt Jerome ,1949,
Baker Michael A. ,1953,
Cabana Robert D. ,1949,
Duffy Brian ,1953,
Gemar Charles D. ,1955,
Godwin Linda M. ,1952,
Henricks Terence T. ,1952,1
Hieb Richard J. ,1955,
Jernigan Tamara E. ,1959,
Meade Carl J. ,1950,
Oswald Stephen S. ,1951,
Thorne Stephen D. ,1953,
Thuot Pierre J. ,1955,
Akers Thomas D. ,1951,
Allen Andrew M. ,1955,
Bowersox Kenneth D. ,1956,
Brown Curtis L. Jr. ,1956,
Chilton Kevin P. ,1954,
Davis N. Jan ,1953,
Foale C. Michael ,1957,
Harbaugh Gregory J. ,1956,1
Jemison Mae C. ,1956,
McMonagle Donald R. ,1952,
Melnick Bruce E. ,1949,
Readdy William F. ,1952,
Reightler Kenneth S. Jr. ,1951,
